month,unique_id,balance,first_name,last_name
01-03-2023,10024,121100,Mary,Miller
01-04-2023,10024,220100,Mary,Miller
01-05-2023,10024,231100,Mary,Miller
01-06-2023,10024,151100,Mary,Miller
01-07-2023,10024,161100,Mary,Miller
01-08-2023,10024,377100,Mary,Miller
01-03-2023,10025,371100,Martin,Phungula
01-04-2023,10025,246100,Martin,Phungula
01-05-2023,10025,253100,Martin,Phungula
01-06-2023,10025,371100,Martin,Phungula
01-07-2023,10025,95100,Martin,Phungula
01-08-2023,10025,364100,Martin,Phungula
01-03-2023,10026,206100,Vedika,Thumbela
01-04-2023,10026,344100,Vedika,Thumbela
01-05-2023,10026,199100,Vedika,Thumbela
01-06-2023,10026,131100,Vedika,Thumbela
01-07-2023,10026,60100,Vedika,Thumbela
01-08-2023,10026,179100,Vedika,Thumbela
01-03-2023,10027,399100,Sibusisiwe,Sokhulu
01-04-2023,10027,231100,Sibusisiwe,Sokhulu
01-05-2023,10027,166100,Sibusisiwe,Sokhulu
01-06-2023,10027,60100,Sibusisiwe,Sokhulu
01-07-2023,10027,158100,Sibusisiwe,Sokhulu
01-08-2023,10027,374100,Sibusisiwe,Sokhulu
01-03-2023,10028,286100,Brittany,Maseko
01-04-2023,10028,30100,Brittany,Maseko
01-05-2023,10028,293100,Brittany,Maseko
01-06-2023,10028,350100,Brittany,Maseko
01-07-2023,10028,399100,Brittany,Maseko
01-08-2023,10028,152100,Brittany,Maseko
01-03-2023,10029,387100,Antonio,Bryant
01-04-2023,10029,365100,Antonio,Bryant
01-05-2023,10029,291100,Antonio,Bryant
01-06-2023,10029,270100,Antonio,Bryant
01-07-2023,10029,59100,Antonio,Bryant
01-08-2023,10029,146100,Antonio,Bryant
01-03-2023,10030,9100,Vusumuzi,Chowdhury
01-04-2023,10030,87100,Vusumuzi,Chowdhury
01-05-2023,10030,294100,Vusumuzi,Chowdhury
01-06-2023,10030,94100,Vusumuzi,Chowdhury
01-07-2023,10030,64100,Vusumuzi,Chowdhury
01-08-2023,10030,294100,Vusumuzi,Chowdhury
01-03-2023,10031,65100,Mnqobi,Lopez
01-04-2023,10031,303100,Mnqobi,Lopez
01-05-2023,10031,105100,Mnqobi,Lopez
01-06-2023,10031,306100,Mnqobi,Lopez
01-07-2023,10031,149100,Mnqobi,Lopez
01-08-2023,10031,9100,Mnqobi,Lopez
01-03-2023,10032,41100,Elizabeth,Clark
